,symbol,passed,FilterWinLoss1Min,FilterWinLoss1Max,FilterValue1,FilterVolume1
0,AAC,False,-14.6369,14.4444,0.8101,53244
1,WBAI,False,-10.1001,19.0283,9.53,3374
2,WUBA,True,-4.6016,4.7967,53.5,267618
3,EGHT,True,-8.5855,4.4695,25.25,564891
4,AIR,False,-3.0737,8.6968,40.93,91429
5,AHC,False,-4.4321,3.966,3.67,3232
6,MMM,True,-3.4242,3.0459,164.88,1170675
7,DDD,False,-14.1104,5.8072,7.0,594357
8,AOS,True,-3.8724,3.3546,45.57,816713
9,ATEN,False,-3.9894,4.5517,7.13,175315
10,ABB,True,-4.089,2.4363,18.77,1039843
11,AAN,True,-3.8923,3.2164,64.63,288859
12,ABT,True,-3.0995,3.1265,86.89,2437460
13,ANF,True,-11.1992,4.7648,16.73,1407351
14,AGD,False,-2.0148,1.71,9.36,25284
15,JEQ,False,-2.3679,2.0,6.99,952
16,ABBV,True,-16.2524,3.8857,65.01,3083163
17,AWP,False,-5.6726,1.85,5.93,145741
18,AOD,False,-2.3058,1.2422,8.16,141660
19,ACP,False,-2.6899,1.9544,12.44,35006
20,AKR,False,-3.1945,3.6445,27.85,141068
21,ACN,True,-3.8651,2.8115,192.88,1090004
22,ACCO,False,-3.2723,20.1474,9.56,307641
23,ABM,False,-2.9246,2.5955,39.91,156125
24,ATV,False,-7.113,4.0647,17.31,48
25,AYI,False,-7.85,4.0169,128.34,158743
26,ATU,False,-5.6729,5.3117,21.88,83416
27,GOLF,False,-3.9294,4.0484,25.99,66496
28,AGRO,False,-16.0284,4.2489,5.64,64213
29,ADNT,True,-10.2737,31.8653,24.18,769185
30,PEO,False,-2.9747,2.5692,15.37,19007
31,ADT,False,-6.1873,5.0489,4.53,789384
32,ATGE,False,-4.2466,4.3674,48.11,186765
33,AAP,True,-5.3438,2.0436,142.23,487603
34,ADX,False,-3.1072,2.0874,15.63,64148
35,ADSW,True,-0.5919,0.5641,32.49,335862
36,ASIX,False,-7.3025,4.2656,22.67,71320
37,WMS,False,-1.9485,2.672,32.94,80365
38,AVK,False,-2.9015,1.17,14.53,45084
39,AEH,False,-1.0606,0.6865,26.27,17467
40,AER,True,-2.2041,8.1548,52.22,335377
41,HIVE,False,-2.3881,39.185,4.44,0
42,AEB,False,-1.5693,1.8402,24.0,4009
43,AJRD,True,-3.5008,13.6704,48.8,254458
44,ACM,True,-2.8651,5.2994,33.58,297490
45,AEG,False,-4.8117,2.6263,4.25,488893
46,AFL,True,-2.3011,1.8427,52.92,1599408
47,AMG,True,-3.7757,3.0353,79.25,221181
48,MITT,False,-2.1092,1.4502,16.06,71642
49,AGCO,True,-7.8729,5.0282,67.87,203385
50,AEM,True,-3.5991,4.1356,58.68,690858
51,APD,True,-1.7478,2.0182,229.67,569675
52,AKS,False,-6.0,18.1102,2.53,4580656
53,AYR,False,-2.5974,3.3116,20.65,83906
54,A,True,-3.2609,2.7331,67.64,1149172
55,AL,True,-3.0151,4.3202,38.98,270640
56,ADC,False,-3.0335,5.8421,70.83,74745
57,AGI,False,-4.4503,8.5496,6.99,1269556
58,ALG,False,-3.0077,11.7581,107.61,30880
59,ALK,True,-3.4044,3.547,61.17,566810
60,ALB,True,-4.7612,8.7291,68.45,626298
61,AIN,False,-3.2767,8.8481,82.81,91817
62,ALEX,False,-3.9141,4.747,22.81,154714
63,AA,True,-5.1578,4.1109,19.11,2198476
64,AQNA,False,-0.9691,0.7904,27.49,2667
65,AQN,False,-1.7872,1.5599,12.98,171558
66,ARE,True,-3.1014,2.6847,144.26,349401
67,Y,False,-2.4608,6.1165,753.53,35698
68,ALLE,True,-3.151,1.6365,97.46,340613
69,AGN,True,-1.634,25.3608,159.94,2390112
70,ALX,False,-3.2296,3.072,361.68,4744
71,BABA,True,-4.5528,3.502,164.03,8532590
72,ALE,False,-2.5157,1.94,84.91,86289
73,ADS,True,-4.0759,4.8162,152.44,383676
74,AWF,False,-1.8349,0.7699,11.81,77812
75,AB,False,-5.8844,4.1435,27.43,84079
76,ATI,True,-7.2222,4.9257,18.24,319789
77,NCV,False,-3.0252,1.7391,5.7,125904
78,CBH,False,-1.3859,2.2926,9.3,13388
79,AFB,False,-0.4431,0.5939,13.74,19347
80,NCZ,False,-3.0888,1.2024,5.0,70717
81,ACV,False,-2.878,1.8576,23.95,13577
82,NIE,False,-3.3164,1.8727,21.75,28832
83,ALSN,True,-3.1623,3.47,43.57,336691
84,ALL,True,-2.6122,5.4699,104.44,893722
85,NFJ,False,-2.7441,1.5677,12.16,51023
86,ALLY,True,-4.025,6.4865,31.33,1775885
87,MO,True,-4.4966,2.184,46.78,3909230
88,ACH,False,-4.194,4.3296,7.37,19251
89,ABEV,False,-3.3663,9.0909,4.87,13904913
90,AMC,False,-5.7447,9.5634,11.67,1238689
91,AMRC,False,-4.539,9.3726,14.22,47236
92,AYX,True,-3.465,11.9364,135.33,596173
93,ATUS,True,-2.7798,5.153,26.7,2534839
94,AEE,True,-2.4158,1.4624,76.51,512719
95,AMOV,False,-4.2705,4.8313,13.5,194
96,AMX,True,-3.5461,3.5666,13.72,931099
97,AAT,False,-2.6692,2.2122,46.9,117256
98,AEO,True,-7.8575,5.1694,16.38,2192620
99,AEL,True,-7.093,3.3487,22.64,230675
100,AEP,True,-2.0693,1.2724,90.25,1233458
101,AFG,False,-2.945,2.4809,102.33,150518
102,AFGE,False,-0.7812,0.5066,25.95,1065
103,AXL,False,-14.882,7.0539,7.59,723926
104,AXP,True,-2.8879,1.88,126.32,1504592
105,ACC,True,-2.0156,1.8904,46.81,201356
106,AMH,True,-2.497,1.9704,24.53,1007404
107,AFGH,False,-1.84,0.65,26.17,1624
108,AMID,False,-1.5355,2.1526,5.24,53638
109,ARA,False,-9.6386,11.157,7.22,68894
110,AWR,False,-1.8834,3.2459,84.24,85938
111,ARL,False,-10.8633,14.0636,12.28,454
112,AMT,True,-2.3765,2.2078,221.1,868931
113,AIG,True,-2.7977,4.4293,56.12,1828885
114,AVD,False,-4.9169,3.997,13.61,25108
115,ANFI,False,-8.7242,12.5,0.6286,68010
116,ABC,True,-5.1747,5.2209,89.26,595909
117,AWK,True,-1.936,1.9516,121.83,540536
118,AP,False,-5.1345,13.2964,3.98,1753
119,AMN,False,-3.5362,6.4554,55.78,94439
120,APU,False,-2.6292,1.2901,31.24,99876
121,COLD,True,-2.6426,2.8994,35.43,966309
122,APH,True,-6.0797,2.2188,88.01,616838
123,AMP,True,-4.8096,2.9683,128.72,403381
124,AME,True,-2.7977,2.9232,86.09,452105
125,AMRX,False,-35.9765,6.686,2.85,243690
126,AXR,False,-11.9534,13.3866,5.53,0
127,APC,True,-0.8948,1.5699,72.77,3686322
128,AU,True,-8.9648,10.0234,19.57,1600537
129,PLAN,True,-4.5699,4.0302,56.68,522286
130,ANDX,False,-6.2372,1.7364,32.17,0
131,AXE,False,-4.5862,5.7592,59.12,42705
132,BUD,True,-3.0337,5.5294,95.67,779037
133,NLY,False,-2.1231,2.2532,9.21,6609385
134,AM,False,-9.309,2.7273,7.22,2105429
135,AR,False,-8.7398,12.3762,3.52,4538611
136,ANTM,True,-4.521,5.5432,286.9,720131
137,ANH,False,-2.1333,3.2698,3.66,243376
138,AON,True,-4.0777,2.48,190.98,444340
139,APA,True,-6.1644,3.3005,21.92,2166054
140,AIV,True,-2.8668,2.5825,50.39,509726
141,APHA,False,-5.8219,40.9615,6.92,1133317
142,APY,True,-6.2685,4.8371,28.53,201675
143,AIY,False,-1.9638,0.3984,25.1,0
144,ARI,True,-2.5995,1.3617,18.8,461301
145,AIF,False,-1.2237,0.9635,14.73,16614
146,APO,True,-5.8488,5.8225,33.59,698565
147,AFT,False,-1.4398,0.8038,14.78,22904
148,AIT,False,-3.5757,3.4182,53.87,54453
149,APTV,True,-4.5864,7.4537,83.56,437538
150,APLE,True,-3.2463,2.2757,15.75,674089
151,ATR,False,-2.859,2.2954,121.22,135119
152,WTR,True,-2.3866,2.401,43.65,494540
153,AQ,False,-0.8436,0.9977,13.17,55893
154,ABR,True,-3.7559,4.3265,12.64,557110
155,WAAS,False,-9.3949,8.7085,18.22,50444
156,ARMK,True,-2.1363,4.7018,37.92,609407
157,ARC,False,-12.68,11.8881,1.42,18374
158,MT,True,-6.9511,6.087,13.84,839927
159,ARCH,False,-11.9112,4.4358,77.54,109120
160,AROC,False,-5.2376,4.9571,8.52,353534
161,ACA,False,-4.4533,4.3405,32.92,161253
162,ADM,True,-5.715,2.7361,37.76,1417104
163,RCUS,False,-23.0201,11.0119,7.4,35678
164,ARD,False,-4.0741,6.7694,17.78,24555
165,ARCO,False,-12.2549,7.4866,7.15,111522
166,ASC,False,-5.9946,12.4138,6.08,104035
167,ACRE,False,-2.0355,1.6756,15.26,50376
168,ARES,False,-7.1031,3.2609,28.06,167346
169,ARNC,True,-2.7157,4.2869,25.39,1174497
170,AFC,False,-1.7504,1.7274,26.26,1499
171,ARDC,False,-1.4974,0.9901,15.21,40651
172,AGX,False,-3.4712,3.7606,39.22,42786
173,ARGO,False,-3.3249,2.422,68.72,47196
174,AI,False,-5.0,2.6154,5.77,213116
175,ARLO,False,-17.6944,9.8985,3.07,299236
176,ANET,True,-10.3225,3.6245,230.82,456734
177,ARGD,False,-0.349,0.4678,25.82,761
178,AIW,False,-0.878,1.0617,24.39,0
179,AHH,False,-3.3033,1.8398,17.35,96759
180,AIC,False,-1.0045,1.3793,24.32,325
181,AJG,True,-4.0298,2.4407,90.02,408734
182,AFI,False,-8.1294,12.6547,7.4,54533
183,ARW,True,-3.9028,2.9977,69.12,269336
184,APAM,False,-3.5474,5.8958,27.35,77972
185,ASX,False,-4.25,7.0886,4.24,149869
186,AWI,False,-4.9935,4.3234,95.02,172931
187,ARR,True,-3.9017,2.3188,17.23,292545
188,ASGN,False,-3.2038,4.2771,61.74,123447
189,ASA,False,-4.9035,4.8183,12.84,37700
190,ABG,False,-1.6955,5.6089,92.45,39416
191,AHT,False,-6.1372,7.0039,2.98,625883
192,ASH,False,-2.8938,2.1968,74.06,143597
193,ASB,True,-4.0148,2.9894,19.86,365418
194,ASPN,False,-6.3636,8.3587,6.75,2395
195,AC,False,-3.6206,6.1897,36.34,515
196,AIZ,True,-3.0752,7.5344,122.53,247206
197,AGO,True,-2.5122,6.9305,45.13,273642
198,AIZP,False,-1.8812,5.2775,123.36,313
199,HOME,False,-8.1081,14.9533,4.86,1472318
200,TBC,False,-1.1144,0.8531,27.0,27019
201,T,True,-2.073,3.5837,34.86,16814240
202,AZN,True,-2.5006,5.7249,44.86,1324446
203,TBB,False,-1.2495,0.98,26.58,32348
204,AT,False,-3.3613,5.2846,2.4,114924
205,ATKR,False,-2.565,7.7922,29.77,113012
206,ATO,True,-3.5671,1.4731,109.09,305553
207,ATTO,False,-6.6946,5.29,2.27,11344
208,AUO,False,-4.5455,2.847,2.31,264373
209,ACB,False,-6.4,10.3393,6.66,5388862
210,ATH,True,-4.0137,3.3537,39.2,488659
211,AVLR,True,-5.4989,11.2078,85.73,393086
212,AZO,False,-3.0289,1.8195,1081.28,107505
213,ATHM,True,-8.0553,5.3439,80.05,345158
214,AN,False,-2.8078,10.8462,48.91,170236
215,AVB,True,-2.7061,1.834,204.2,294677
216,ALV,True,-3.1936,3.4515,67.99,225230
217,AVNS,False,-4.0134,5.8486,36.99,78885
218,AGR,False,-2.1939,2.3364,49.36,189667
219,AVYA,True,-7.8027,12.88,11.8,428882
220,AVH,False,-6.6667,7.5,3.94,14191
221,AVY,True,-3.3516,4.2746,112.73,294187
222,AVA,False,-1.4088,1.4189,46.26,105177
223,AVP,False,-4.1463,5.4688,4.35,2509460
224,EQH,True,-6.0498,3.6174,20.75,956003
225,AXTA,True,-2.6662,13.5941,28.1,651485
226,AVX,False,-4.8514,3.8462,14.27,64962
227,AXS,True,-2.1241,3.7478,64.68,203107
228,AZUL,False,-5.1879,12.4077,40.71,171497
229,AX,False,-6.0048,5.7359,27.66,176025
230,AXO,False,-1.2389,1.0125,25.89,0
231,AZRE,False,-5.0,2.8571,10.31,1136
