symbol,passed,FilterWinLoss1Min,FilterWinLoss1Max,FilterValue1,FilterVolume1
AAC,False,-14.6369,8.1633,0.8101,53244
WBAI,False,-10.1001,11.7409,9.53,13158
WUBA,True,-4.5911,3.9193,53.5,355448
EGHT,True,-8.5855,4.4695,25.25,708633
AIR,False,-2.664,5.3674,40.93,91429
AHC,False,-4.4321,3.966,3.67,4926
MMM,True,-3.4242,2.1118,164.88,1457357
DDD,False,-14.1104,5.8072,7.0,861943
AOS,True,-3.8724,3.3546,45.57,1230488
ATEN,False,-3.9894,4.5517,7.13,201152
ABB,True,-4.089,2.4363,18.77,1205845
AAN,True,-3.8923,3.2164,64.63,334769
ABT,True,-3.0995,3.1265,86.89,2864651
ANF,True,-11.1992,4.2832,16.73,1407351
AGD,False,-2.0148,1.71,9.36,25284
JEQ,False,-2.3679,0.8721,6.99,3212
ABBV,True,-1.6011,1.6502,65.01,5615783
AWP,False,-5.6726,1.85,5.93,193294
AOD,False,-2.3058,1.2422,8.16,141660
ACP,False,-2.6899,1.9544,12.44,36332
AKR,True,-3.1945,3.6445,27.85,277785
ACN,True,-3.8651,2.8115,192.88,1090004
ACCO,False,-2.4272,20.1474,9.56,345934
ABM,True,-2.9246,2.5955,39.91,180900
ATV,False,-4.2783,3.7464,17.31,48
AYI,False,-2.5288,2.5949,128.34,158743
ATU,True,-4.4105,3.615,21.88,185748
GOLF,False,-3.9294,4.0484,25.99,66496
AGRO,False,-16.0284,4.2489,5.64,67832
ADNT,True,-10.2737,31.8653,24.18,769185
PEO,False,-2.9747,2.5692,15.37,31705
ADT,False,-6.1873,5.0489,4.53,880403
ATGE,True,-4.2466,4.3674,48.11,187064
AAP,True,-5.3438,1.7871,142.23,487603
ADX,False,-3.1072,2.0874,15.63,66370
ADSW,True,-0.5224,0.4333,32.49,335862
ASIX,False,-7.3025,4.2656,22.67,96063
WMS,False,-1.8193,2.672,32.94,107355
AVK,False,-2.9015,1.17,14.53,63467
AEH,False,-1.0606,0.6865,26.27,17467
AER,True,-2.2041,8.1548,52.22,450534
HIVE,False,-0.2252,0.4505,4.44,0
AEB,False,-1.2474,1.1859,24.0,4009
AJRD,True,-3.5008,13.6704,48.8,254458
ACM,True,-2.8651,2.8981,33.58,371488
AEG,False,-4.8117,1.3889,4.25,488893
AFL,True,-2.3011,1.4776,52.92,1952414
AMG,True,-3.7757,3.0353,79.25,322997
MITT,False,-1.4067,1.4502,16.06,95725
AGCO,True,-7.8729,5.0282,67.87,393294
AEM,True,-3.5991,4.1356,58.68,842324
APD,True,-1.7478,2.0182,229.67,599548
AKS,False,-6.0,18.1102,2.53,4839969
AYR,False,-2.5974,3.3116,20.65,83906
A,True,-3.2609,2.7331,67.64,1866212
AL,True,-3.0151,4.3202,38.98,472193
ADC,False,-2.726,5.8421,70.83,146012
AGI,False,-4.4503,8.5496,6.99,1623100
ALG,False,-1.7634,11.7581,107.61,30880
ALK,True,-2.8469,3.547,61.17,746638
ALB,True,-4.7612,8.7291,68.45,741158
AIN,False,-3.2767,8.8481,82.81,102082
ALEX,False,-3.417,4.747,22.81,158294
AA,True,-5.1578,3.09,19.11,2393866
AQNA,False,-0.8948,0.7584,27.49,2667
AQN,False,-1.1755,1.5067,12.98,171558
ARE,True,-1.6997,2.6847,144.26,349401
Y,False,-2.4608,6.1165,753.53,35698
ALLE,True,-3.151,0.8339,97.46,340613
AGN,True,-1.0959,0.81,159.94,2400270
ALX,False,-2.2321,1.1264,361.68,4744
BABA,True,-4.5528,2.88,164.03,11894293
ALE,False,-1.6709,1.5256,84.91,86289
ADS,True,-4.0759,4.8162,152.44,488928
AWF,False,-1.8349,0.7647,11.81,86396
AB,False,-5.8844,4.1435,27.43,85188
ATI,True,-7.2222,3.3129,18.24,942956
NCV,False,-3.0252,1.7391,5.7,163830
CBH,False,-1.3029,2.2926,9.3,19756
AFB,False,-0.4431,0.5935,13.74,19347
NCZ,False,-3.0888,0.8,5.0,106429
ACV,False,-2.878,1.8576,23.95,15567
NIE,False,-3.3164,1.8727,21.75,28832
ALSN,True,-3.1623,3.47,43.57,532021
ALL,True,-2.6122,5.4699,104.44,893722
NFJ,False,-2.7441,1.5677,12.16,82791
ALLY,True,-4.025,6.4865,31.33,1775885
MO,True,-3.5977,2.184,46.78,4086783
ACH,False,-4.194,4.3296,7.37,19251
ABEV,False,-3.3663,9.0909,4.87,14710679
AMC,False,-4.8183,9.5634,11.67,1753319
AMRC,False,-4.539,9.3726,14.22,47236
AYX,True,-3.465,11.9364,135.33,596173
ATUS,True,-2.7798,5.153,26.7,2534839
AEE,True,-1.5293,1.4624,76.51,657674
AMOV,False,-4.2705,4.8313,13.5,557
AMX,True,-3.5461,3.5666,13.72,987644
AAT,False,-2.6692,2.2122,46.9,117256
AEO,True,-7.8575,5.1694,16.38,2245666
AEL,True,-7.093,2.0179,22.64,260763
AEP,True,-1.6129,1.2724,90.25,1338335
AFG,False,-2.945,2.4809,102.33,150518
AFGE,False,-0.4639,0.3486,25.95,1951
AXL,False,-14.882,6.6782,7.59,905328
AXP,True,-2.8879,1.88,126.32,1576298
ACC,True,-1.7304,1.8904,46.81,321610
AMH,True,-2.497,1.9704,24.53,1007404
AFGH,False,-1.84,0.65,26.17,2603
AMID,False,0.0,0.9634,5.24,109891
ARA,False,-4.026,11.157,7.22,68894
AWR,False,-1.8834,3.2459,84.24,106301
ARL,False,-10.8633,3.7127,12.28,454
AMT,True,-1.4857,1.9204,221.1,868931
AIG,True,-2.7977,4.4293,56.12,1828885
AVD,False,-4.5904,3.997,13.61,36664
ANFI,False,-5.1286,12.5,0.6286,104105
ABC,True,-5.1747,5.2209,89.26,595909
AWK,True,-1.936,1.9516,121.83,622414
AP,False,-5.1345,13.2964,3.98,3499
AMN,False,-3.5362,6.4554,55.78,150003
APU,True,-2.6292,0.7988,31.24,258046
COLD,True,-1.5727,2.5217,35.43,966309
APH,True,-6.0797,2.2,88.01,616838
AMP,True,-4.8096,2.9683,128.72,512476
AME,True,-2.7977,2.4845,86.09,734043
AMRX,False,-7.932,6.686,2.85,1127379
AXR,False,-9.4,4.9636,5.53,3
APC,True,-0.8948,1.0923,72.77,3686322
AU,True,-8.9648,10.0234,19.57,1600537
PLAN,True,-4.5699,4.0058,56.68,522286
ANDX,False,-6.2372,1.7364,32.17,0
AXE,False,-4.5862,5.7592,59.12,75776
BUD,True,-1.9962,5.5294,95.67,925765
NLY,False,-2.1231,2.2532,9.21,8405820
AM,False,-9.309,2.7273,7.22,3065613
AR,False,-8.7398,12.3762,3.52,4538611
ANTM,True,-4.521,2.6162,286.9,798307
ANH,False,-1.8667,2.4457,3.66,247392
AON,True,-4.0777,2.48,190.98,454326
APA,True,-4.2125,3.3005,21.92,3141576
AIV,True,-2.8668,2.5825,50.39,607862
APHA,False,-5.8219,40.9615,6.92,1133317
APY,True,-3.8049,4.8371,28.53,394234
AIY,False,-1.9638,0.3984,25.1,0
ARI,True,-2.5995,1.3617,18.8,470642
AIF,False,-1.2237,0.9635,14.73,19277
APO,True,-5.8488,5.8225,33.59,740136
AFT,False,-1.4398,0.8038,14.78,22904
AIT,False,-3.5757,3.4182,53.87,81526
APTV,True,-4.5864,7.4537,83.56,766747
APLE,True,-3.2463,2.1739,15.75,723463
ATR,False,-2.859,2.2549,121.22,135119
WTR,True,-2.3866,2.2114,43.65,624543
AQ,False,-0.4563,0.3056,13.17,55893
ABR,False,-3.7559,4.3265,12.64,557110
WAAS,False,-6.3808,6.6975,18.22,79300
ARMK,True,-2.1363,4.7018,37.92,1893671
ARC,False,-12.68,11.8881,1.42,27742
MT,True,-6.9511,4.55,13.84,1184080
ARCH,False,-11.9112,3.6289,77.54,155870
AROC,False,-5.2376,4.9571,8.52,353534
ACA,False,-4.4533,4.3405,32.92,161253
ADM,True,-5.715,2.7361,37.76,2080125
RCUS,False,-7.2061,11.0119,7.4,35678
ARD,False,-4.0741,3.99,17.78,50423
ARCO,False,-12.2549,3.8309,7.15,111522
ASC,False,-5.9946,1.8592,6.08,131666
ACRE,False,-2.0355,1.6756,15.26,66458
ARES,True,-7.1031,3.2609,28.06,167346
ARNC,True,-2.7157,4.2869,25.39,1701403
AFC,False,-1.3564,0.6464,26.26,1499
ARDC,False,-1.4974,0.727,15.21,50505
AGX,False,-3.4712,3.548,39.22,44207
ARGO,False,-3.3179,2.422,68.72,57143
AI,False,-5.0,1.9969,5.77,213116
ARLO,False,-17.6944,9.8985,3.07,354401
ANET,True,-10.3225,2.75,230.82,597069
ARGD,False,-0.349,0.4678,25.82,761
AIW,False,-0.878,0.5677,24.39,0
AHH,False,-3.1414,1.8398,17.35,96759
AIC,False,-0.9658,1.3793,24.32,375
AJG,True,-4.0298,2.4407,90.02,408734
AFI,False,-7.177,12.6547,7.4,124975
ARW,True,-2.2014,2.9977,69.12,269336
APAM,True,-3.5474,2.1153,27.35,223864
ASX,False,-2.5057,2.5641,4.24,149869
AWI,True,-4.9935,4.3234,95.02,210916
ARR,True,-3.9017,2.3188,17.23,341201
ASGN,True,-3.2038,4.2771,61.74,184048
ASA,False,-4.9035,4.8183,12.84,61864
ABG,False,-1.6399,5.6089,92.45,65025
AHT,False,-5.9041,7.0039,2.98,625883
ASH,True,-2.8938,2.1968,74.06,281863
ASB,True,-4.0148,2.9894,19.86,365418
ASPN,False,-6.3636,6.8858,6.75,2395
AC,False,-2.727,1.84,36.34,515
AIZ,True,-2.6467,7.5344,122.53,256290
AGO,True,-2.5122,6.9305,45.13,273642
AIZP,False,-1.4781,5.2775,123.36,1013
HOME,False,-7.0117,14.9533,4.86,1472318
TBC,False,-1.1144,0.8531,27.0,45045
T,True,-2.0128,3.5837,34.86,17869349
AZN,True,-1.626,5.7249,44.86,1324446
TBB,False,-1.0687,0.98,26.58,68566
AT,False,-3.3613,2.5,2.4,114924
ATKR,False,-2.565,7.7922,29.77,154511
ATO,True,-2.4537,1.3898,109.09,405232
ATTO,False,-6.6946,5.29,2.27,11344
AUO,False,-4.5455,2.847,2.31,341995
ACB,False,-6.4,10.3393,6.66,7898560
ATH,True,-4.0137,3.3537,39.2,586166
AVLR,True,-5.4989,11.2078,85.73,415600
AZO,False,-3.0289,1.8195,1081.28,162407
ATHM,True,-4.0588,3.19,80.05,417142
AN,True,-1.569,10.8462,48.91,466580
AVB,True,-2.7061,1.2898,204.2,333173
ALV,True,-3.1936,3.4515,67.99,282765
AVNS,False,-4.0134,5.8486,36.99,131068
AGR,True,-1.8936,2.3364,49.36,334636
AVYA,False,-7.8027,12.88,11.8,524619
AVH,False,-6.6667,4.3367,3.94,27449
AVY,True,-3.3516,4.2746,112.73,294187
AVA,True,-1.4088,1.4189,46.26,178875
AVP,False,-3.6364,5.4688,4.35,2509460
EQH,True,-6.0498,3.6174,20.75,956003
AXTA,True,-2.6662,3.8957,28.1,1198435
AVX,False,-4.8514,3.8462,14.27,120777
AXS,True,-2.0732,3.7478,64.68,271248
AZUL,True,-5.1879,4.9231,40.71,171497
AX,True,-6.0048,5.7359,27.66,176025
AXO,False,-1.2389,1.0125,25.89,0
AZRE,False,-5.0,2.8431,10.31,1136
BCSF,False,-0.7692,0.5556,18.09,52152
BGS,True,-5.258,11.5642,18.91,549393
BW,False,-7.7439,9.5978,3.71,48280
BGH,False,-2.0914,1.1791,17.78,31264
BMI,False,-9.4346,2.3579,54.53,71409
AZZ,False,-2.977,2.0648,42.74,77879
BLL,True,-1.9805,4.5607,79.29,1073991
BBN,False,-0.2102,1.1029,24.88,58663
BBVA,False,-3.8384,2.2684,4.85,1631825
BANC,True,-4.4786,6.0274,14.67,181635
BHGE,True,-4.7091,3.5904,23.57,2889184
BBDO,False,-7.0015,3.5526,7.66,560
BLX,False,-4.4244,4.4218,19.98,39483
BSAC,False,-3.2574,1.9629,28.47,89352
BCH,False,-2.5806,3.4596,29.39,10940
BBD,False,-5.848,3.1093,8.57,4913599
SAN,False,-3.386,2.9478,3.97,6278456
BSBR,False,-3.8567,3.9595,10.98,436794
BSMX,False,-3.5088,3.2653,6.64,608218
CIB,False,-4.6454,4.8717,51.48,88476
BXS,False,-3.9813,3.0601,27.69,146321
BAC,True,-4.4248,2.2996,27.72,31227223
BOH,False,-2.7801,2.1795,82.91,114496
NTB,False,-3.959,1.6341,26.92,122409
BK,True,-3.1216,2.3428,43.67,4223137
BMO,True,-1.7498,1.02,71.6,190722
BNS,True,-1.6727,1.1182,52.21,330574
MCI,False,-2.1739,1.697,16.17,2975
BCS,False,-3.7889,1.1673,6.8,1022921
BKU,True,-4.4173,9.195,31.76,259579
BBDC,False,-0.9137,0.9137,9.65,34647
B,False,-5.03,2.6501,44.98,81879
BKS,False,-1.6442,1.5198,6.49,427095
GOLD,True,-4.4092,4.2435,18.11,11156554
MPV,False,-3.5714,3.9766,16.2,52
BAS,False,-9.0909,7.6923,1.5,120259
BNED,False,-7.3746,11.236,2.91,179553
BAX,True,-3.294,2.93,88.18,1573832
BHC,True,-3.1732,2.6459,22.69,1198521
BTE,False,-4.9645,8.3333,1.4,799880
BBT,True,-4.0122,2.8002,46.73,2767419
BBX,False,-4.6875,3.2037,3.94,82745
BCE,True,-1.1179,1.7956,46.6,515256
BZH,False,-4.3706,4.6667,11.75,221310
BDXA,False,-4.5744,2.2761,61.91,34057
BDX,True,-4.966,2.8117,253.34,538778
BDC,True,-19.2253,2.9927,44.86,190883
BRK.A,False,-2.6846,1.5246,299510.0,110
BRK.B,True,-2.5507,1.4262,198.78,1977839
BHLB,False,-4.1768,4.1883,29.92,91248
BERY,True,-14.9484,2.6501,41.08,672554
BBY,True,-10.7932,6.07,71.29,1186846
BHE,False,-2.9477,3.4496,26.47,146526
BHP,True,-3.641,2.2249,50.65,708706
BBL,True,-4.0784,2.662,44.02,508533
BIG,True,-7.686,4.0926,21.86,628506
BH.A,False,-5.106,6.7416,519.97,3
BIO.B,False,-5.1605,7.0587,325.79,0
BH,False,-4.8521,5.303,100.6,3948
BHVN,True,-4.3169,7.5259,38.83,406864
BIO,False,-5.119,8.2579,326.25,82790
BITA,False,-5.7692,8.6835,11.31,227693
BKH,True,-2.0889,1.3381,76.53,183370
BJ,True,-5.601,3.2482,22.05,1178986
BKI,True,-2.9838,2.6848,61.38,278469
BSM,False,-3.2832,3.3239,14.42,72866
BGIO,False,-1.2061,2.4168,9.52,8985
BB,False,-4.0616,3.3675,7.0,1937775
CII,False,-2.5173,1.6753,15.71,49284
BHK,False,-0.4237,1.0616,14.45,58291
BFZ,False,-0.2996,0.5185,13.81,35972
HYT,False,-1.4138,0.29,10.51,163650
BTZ,False,-1.0622,1.6104,13.64,66274
EGF,False,-0.4262,0.6816,13.17,0
FRA,False,-0.4684,0.32,12.66,74224
DSU,False,-1.3636,0.5576,10.87,30793
BFO,False,-0.2776,0.3482,14.4,44
BGR,False,-3.2817,2.3011,10.63,58516
BDJ,False,-2.2173,2.6136,8.98,190745
BOE,False,-1.7258,1.0742,10.31,118432
BME,False,-2.0886,1.9015,38.78,11919
BGT,False,-0.5596,0.4032,12.38,35569
BAF,False,-0.7072,0.9155,14.35,7470
BGY,False,-2.0036,1.28,5.47,79503
BKN,False,-0.6386,0.9753,15.84,7081
BKT,False,-0.4967,1.1686,6.14,40466
BIT,False,-1.5455,0.7497,17.13,55776
BTA,False,-0.4835,1.5987,12.99,16383
MHE,False,-1.2904,0.9914,13.05,0
BZM,False,-3.1348,1.1947,14.43,2
MUI,False,-0.6974,1.4873,14.47,31790
MNE,False,-1.2245,1.6609,14.73,376
MUA,False,-1.616,0.8575,15.17,16519
BKK,False,-0.1988,0.1328,15.07,8755
BBF,False,-0.4225,0.5646,14.13,4107
BYM,False,-0.6329,0.5678,14.18,12787
BLE,False,-1.3115,1.265,14.97,17903
BFK,False,-0.4954,0.7102,14.29,25383
BBK,False,-0.3987,0.7185,15.5,5717
MEN,False,-0.805,0.7117,11.43,29624
MUC,False,-0.2185,0.7857,14.27,42606
MUH,False,-0.6545,1.0506,15.61,5160
BTT,False,-0.6421,1.1069,23.9,50681
MFL,False,-0.2256,0.6657,13.63,24812
MUE,False,-0.468,1.0188,12.91,4812
MUS,False,-0.4695,0.7886,12.77,14907
MVT,False,-1.63,1.3734,15.37,3354
MUJ,False,-1.0936,0.9028,14.62,11077
MYC,False,-0.7818,0.9123,14.54,21651
MHN,False,-0.2987,0.8778,13.8,13472
MHD,False,-1.3002,0.8383,16.84,3064
MCA,False,-0.378,0.4141,14.54,23926
MYF,False,-0.4878,0.6311,14.59,4791
MFT,False,-0.9538,0.8076,13.7,4739
MYD,False,-1.0688,0.823,14.99,31252
MYJ,False,-1.16,1.2242,15.53,14945
MIY,False,-0.8293,0.7785,14.42,7125
MPA,False,-0.9009,0.8386,14.39,5464
MYN,False,-0.6808,1.0109,13.2,23457
MQT,False,-0.6891,0.6178,13.01,18771
BQH,False,-0.6705,0.8754,14.91,186
MYI,False,-0.2956,0.6006,13.63,51248
MQY,False,-0.2742,0.8169,15.1,16520
BST,False,-3.1957,2.7211,33.15,50994
BFY,False,-0.6452,0.9,14.45,3013
BNY,False,-1.7341,2.2157,14.25,2638
BUI,False,-1.1067,2.0601,24.0,19476
BSE,False,-0.6613,1.0355,13.67,1157
BSD,False,-0.8076,0.6392,14.36,6978
BCX,False,-2.6008,1.8843,7.49,125993
BHV,False,-2.23,0.7916,16.15,0
BE,False,-73.91,3.9048,4.6,716458
BGB,False,-1.4085,0.4695,14.56,80887
BLK,True,-3.7705,2.09,425.33,363347
APRN,False,-11.2513,35.5091,8.02,208784
BSL,False,-2.1338,1.3333,17.09,14121
BCRH,False,-1.4778,16.5414,8.2,1474
BXG,False,-5.4945,3.9871,9.66,23958
BXC,False,-3.1643,7.4074,25.67,45354
BGX,False,-2.4002,1.9924,15.79,18347
BCC,False,-4.2017,5.9039,29.2,141667
BCEI,False,-5.367,7.3306,22.7,123783
BOOT,True,-7.6007,4.89,31.26,374442
BA,True,-3.6909,4.5,332.86,2704033
BWA,True,-4.4962,4.2521,33.24,1156165
SAM,False,-2.7515,4.2414,409.7,108928
BXP,True,-2.159,1.8915,127.28,353023
BSX,True,-3.2515,2.3453,42.86,3449020
BOX,True,-4.8906,1.7576,13.58,775208
BAH,True,-2.6698,3.3815,72.2,514830
BYD,True,-5.1897,3.9821,23.66,489390
BP,True,-2.3129,2.3024,37.2,5938341
BPMP,False,-3.6059,1.9782,14.58,115157
BRC,False,-3.1571,2.6838,49.86,99025
BHR,False,-4.1667,4.8724,9.08,104329
BPT,False,-17.2288,13.1961,8.95,167699
BWG,False,-0.6695,0.7614,12.0,19584
BRFS,False,-2.8384,6.3584,9.77,1751323
BGG,False,-4.4395,3.0197,8.69,201034
BFAM,False,-1.8257,2.1042,155.96,130232
BEDU,False,-5.7114,7.3118,9.3,16008
BSA,False,-0.6933,1.0478,24.46,1956
LND,False,-3.3683,4.0548,4.22,327
BDN,True,-2.1277,2.0337,14.51,827146
BV,False,-11.5123,7.6878,18.5,110673
EAT,True,-4.3564,3.7677,38.64,492913
BMY,True,-1.8286,5.0197,46.49,8554842
BR,True,-5.2063,2.1278,126.75,327943
BSIG,False,-6.6355,2.4201,8.92,185665
BRX,True,-2.4494,2.0844,19.0,1474705
BCO,True,-7.1532,5.2179,82.1,190148
BKD,False,-3.1662,6.1308,8.13,683217
BTI,True,-4.3767,6.8861,36.77,919321
BF.A,False,-3.2538,3.2725,55.18,9553
BIP,False,-1.0806,1.21,44.6,150013
BAM,True,-2.5908,1.822,51.03,673165
BEP,False,-1.2623,1.129,35.79,80793
INF,False,-2.381,1.4008,13.05,22713
RA,False,-1.14,0.6407,22.02,55459
BBU,False,-2.4458,3.6,36.41,9187
BRT,False,-2.2238,4.3639,14.34,6573
BRO,True,-1.59,2.6551,36.5,584756
BF.B,True,-2.9701,2.5551,55.9,397869
BT,False,-6.7826,1.8581,10.57,637683
BVN,True,-8.2333,4.4937,14.63,729244
BPL,True,-1.7548,0.8395,40.95,597315
BC,True,-5.0744,4.9309,46.66,599253
BKE,True,-12.9406,3.9109,17.92,389979
BURL,True,-3.1628,3.6,174.44,344959
BG,True,-6.7459,3.6728,53.47,612533
CABO,False,-1.9409,4.5528,1261.41,14097
CJ,False,-7.7697,20.5556,9.45,375284
PFH,False,-9.8637,4.0987,6.47,0
BBW,False,-7.1809,3.8674,3.68,37974
BY,False,-3.7677,2.287,17.67,35349
CBT,True,-4.9642,3.6082,38.99,167825
CACI,False,-2.9474,2.8296,211.04,124361
